encoder_a,encoder_b,pair_type,quartile,layer_a,layer_b,metric,value,n_samples,k
tvl_vitb,sparsh_dino_base,T-T,3,9,9,null_knn_z,18739.56533368368,43502,10
tvl_vitb,sparsh_dino_base,T-T,4,12,12,mutual_knn,0.37548160552978516,43502,10
tvl_vitb,sparsh_dino_base,T-T,4,12,12,null_knn_z,13310.030316063321,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,1,3,3,mutual_knn,0.33303526043891907,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,1,3,3,null_knn_z,13111.023863502329,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,2,6,6,mutual_knn,0.4078686535358429,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,2,6,6,null_knn_z,14591.411360892862,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,3,9,9,mutual_knn,0.44416582584381104,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,3,9,9,null_knn_z,17229.73643406032,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,4,12,12,mutual_knn,0.33851778507232666,43502,10
tvl_vitb,sparsh_ijepa_base,T-T,4,12,12,null_knn_z,12117.953612852145,43502,10
tvl_vitb,anytouch,T-T,1,3,6,mutual_knn,0.35049882531166077,43502,10
tvl_vitb,anytouch,T-T,1,3,6,null_knn_z,12437.188259915443,43502,10
tvl_vitb,anytouch,T-T,2,6,12,mutual_knn,0.44249919056892395,43502,10
tvl_vitb,anytouch,T-T,2,6,12,null_knn_z,16457.102025264223,43502,10
tvl_vitb,anytouch,T-T,3,9,18,mutual_knn,0.46864053606987,43502,10
tvl_vitb,anytouch,T-T,3,9,18,null_knn_z,18476.271005904753,43502,10
tvl_vitb,anytouch,T-T,4,12,24,mutual_knn,0.35355615615844727,43502,10
tvl_vitb,anytouch,T-T,4,12,24,null_knn_z,13084.915734858278,43502,10
tvl_vitb,dinov2_small,T-V,1,3,3,mutual_knn,0.30034250020980835,43502,10
tvl_vitb,dinov2_small,T-V,1,3,3,null_knn_z,12512.34315190945,43502,10
tvl_vitb,dinov2_small,T-V,2,6,6,mutual_knn,0.38268813490867615,43502,10
tvl_vitb,dinov2_small,T-V,2,6,6,null_knn_z,14677.072327885977,43502,10
tvl_vitb,dinov2_small,T-V,3,9,9,mutual_knn,0.44147852063179016,43502,10
tvl_vitb,dinov2_small,T-V,3,9,9,null_knn_z,18618.183488629016,43502,10
tvl_vitb,dinov2_small,T-V,4,12,12,mutual_knn,0.36966344714164734,43502,10
tvl_vitb,dinov2_small,T-V,4,12,12,null_knn_z,12897.061414009728,43502,10
tvl_vitb,dinov2_base,T-V,1,3,3,mutual_knn,0.2989356815814972,43502,10
tvl_vitb,dinov2_base,T-V,1,3,3,null_knn_z,11521.21881797243,43502,10
tvl_vitb,dinov2_base,T-V,2,6,6,mutual_knn,0.38505125045776367,43502,10
tvl_vitb,dinov2_base,T-V,2,6,6,null_knn_z,14532.688402597387,43502,10
tvl_vitb,dinov2_base,T-V,3,9,9,mutual_knn,0.43438008427619934,43502,10
tvl_vitb,dinov2_base,T-V,3,9,9,null_knn_z,17457.64646837352,43502,10
tvl_vitb,dinov2_base,T-V,4,12,12,mutual_knn,0.36950021982192993,43502,10
tvl_vitb,dinov2_base,T-V,4,12,12,null_knn_z,13639.726218907677,43502,10
tvl_vitb,dinov2_large,T-V,1,3,6,mutual_knn,0.30520203709602356,43502,10
tvl_vitb,dinov2_large,T-V,1,3,6,null_knn_z,12077.261472222246,43502,10
tvl_vitb,dinov2_large,T-V,2,6,12,mutual_knn,0.38212957978248596,43502,10
tvl_vitb,dinov2_large,T-V,2,6,12,null_knn_z,16103.424709248558,43502,10
tvl_vitb,dinov2_large,T-V,3,9,18,mutual_knn,0.4471656382083893,43502,10
tvl_vitb,dinov2_large,T-V,3,9,18,null_knn_z,16482.914116362474,43502,10
tvl_vitb,dinov2_large,T-V,4,12,24,mutual_knn,0.3615603744983673,43502,10
tvl_vitb,dinov2_large,T-V,4,12,24,null_knn_z,13470.845709435092,43502,10
tvl_vitb,clip_l_vision,T-V,1,3,6,mutual_knn,0.3090708553791046,43502,10
tvl_vitb,clip_l_vision,T-V,1,3,6,null_knn_z,13116.789165950267,43502,10
tvl_vitb,clip_l_vision,T-V,2,6,12,mutual_knn,0.3949197828769684,43502,10
tvl_vitb,clip_l_vision,T-V,2,6,12,null_knn_z,13583.934628020705,43502,10
tvl_vitb,clip_l_vision,T-V,3,9,18,mutual_knn,0.4384373128414154,43502,10
tvl_vitb,clip_l_vision,T-V,3,9,18,null_knn_z,17766.6904368325,43502,10
tvl_vitb,clip_l_vision,T-V,4,12,24,mutual_knn,0.35712841153144836,43502,10
tvl_vitb,clip_l_vision,T-V,4,12,24,null_knn_z,13868.07373733957,43502,10
tvl_vitb,siglip_base_vision,T-V,1,3,3,mutual_knn,0.31210747361183167,43502,10
tvl_vitb,siglip_base_vision,T-V,1,3,3,null_knn_z,12574.356104750692,43502,10
tvl_vitb,siglip_base_vision,T-V,2,6,6,mutual_knn,0.38770171999931335,43502,10
tvl_vitb,siglip_base_vision,T-V,2,6,6,null_knn_z,15703.34054497788,43502,10
tvl_vitb,siglip_base_vision,T-V,3,9,9,mutual_knn,0.44424623250961304,43502,10
tvl_vitb,siglip_base_vision,T-V,3,9,9,null_knn_z,17070.616371456523,43502,10
tvl_vitb,siglip_base_vision,T-V,4,12,12,mutual_knn,0.36550962924957275,43502,10
tvl_vitb,siglip_base_vision,T-V,4,12,12,null_knn_z,12581.362141473475,43502,10
