encoder_a,encoder_b,pair_type,quartile,layer_a,layer_b,metric,value,n_samples,k
sparsh_ijepa_base,dinov2_large,T-V,1,3,6,mutual_knn,0.3827134668827057,43502,10
sparsh_ijepa_base,dinov2_large,T-V,1,3,6,null_knn_z,13503.126722905443,43502,10
sparsh_ijepa_base,dinov2_large,T-V,2,6,12,mutual_knn,0.3920394480228424,43502,10
sparsh_ijepa_base,dinov2_large,T-V,2,6,12,null_knn_z,14858.349980675968,43502,10
sparsh_ijepa_base,dinov2_large,T-V,3,9,18,mutual_knn,0.40129417181015015,43502,10
sparsh_ijepa_base,dinov2_large,T-V,3,9,18,null_knn_z,13407.752295901888,43502,10
sparsh_ijepa_base,dinov2_large,T-V,4,12,24,mutual_knn,0.37023356556892395,43502,10
sparsh_ijepa_base,dinov2_large,T-V,4,12,24,null_knn_z,12086.243232298035,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,1,3,6,mutual_knn,0.3856949210166931,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,1,3,6,null_knn_z,15266.7478434702,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,2,6,12,mutual_knn,0.40455612540245056,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,2,6,12,null_knn_z,14412.313521942378,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,3,9,18,mutual_knn,0.3931957185268402,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,3,9,18,null_knn_z,15823.616732959572,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,4,12,24,mutual_knn,0.362548828125,43502,10
sparsh_ijepa_base,clip_l_vision,T-V,4,12,24,null_knn_z,13285.805089646017,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,1,3,3,mutual_knn,0.39285317063331604,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,1,3,3,null_knn_z,14097.873394110604,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,2,6,6,mutual_knn,0.3969380557537079,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,2,6,6,null_knn_z,14741.801778323654,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,3,9,9,mutual_knn,0.4011034071445465,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,3,9,9,null_knn_z,14342.619105251042,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,4,12,12,mutual_knn,0.3803503215312958,43502,10
sparsh_ijepa_base,siglip_base_vision,T-V,4,12,12,null_knn_z,13676.909358316256,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,1,3,3,mutual_knn,0.46553489565849304,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,1,3,3,null_knn_z,17768.604823787147,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,2,6,6,mutual_knn,0.4953565299510956,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,2,6,6,null_knn_z,17247.534501469556,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,3,9,9,mutual_knn,0.5100087523460388,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,3,9,9,null_knn_z,17078.066869931547,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,4,12,12,mutual_knn,0.5023309588432312,43502,10
sparsh_dino_base,sparsh_ijepa_base,T-T,4,12,12,null_knn_z,17723.181868926018,43502,10
dinov2_small,dinov2_base,V-V,1,3,3,mutual_knn,0.7997838854789734,43502,10
dinov2_small,dinov2_base,V-V,1,3,3,null_knn_z,29609.79561515775,43502,10
dinov2_small,dinov2_base,V-V,2,6,6,mutual_knn,0.8219577074050903,43502,10
dinov2_small,dinov2_base,V-V,2,6,6,null_knn_z,29243.871192693674,43502,10
dinov2_small,dinov2_base,V-V,3,9,9,mutual_knn,0.7295548915863037,43502,10
dinov2_small,dinov2_base,V-V,3,9,9,null_knn_z,23849.77361742708,43502,10
dinov2_small,dinov2_base,V-V,4,12,12,mutual_knn,0.6819732189178467,43502,10
dinov2_small,dinov2_base,V-V,4,12,12,null_knn_z,25399.896263673654,43502,10
dinov2_small,dinov2_large,V-V,1,3,6,mutual_knn,0.7713921666145325,43502,10
dinov2_small,dinov2_large,V-V,1,3,6,null_knn_z,28983.77371176557,43502,10
dinov2_small,dinov2_large,V-V,2,6,12,mutual_knn,0.8056387901306152,43502,10
dinov2_small,dinov2_large,V-V,2,6,12,null_knn_z,28225.36135648909,43502,10
dinov2_small,dinov2_large,V-V,3,9,18,mutual_knn,0.7565031051635742,43502,10
dinov2_small,dinov2_large,V-V,3,9,18,null_knn_z,26485.723238280054,43502,10
dinov2_small,dinov2_large,V-V,4,12,24,mutual_knn,0.6412785649299622,43502,10
dinov2_small,dinov2_large,V-V,4,12,24,null_knn_z,23948.3943926511,43502,10
dinov2_small,clip_l_vision,V-V,1,3,6,mutual_knn,0.7748217582702637,43502,10
dinov2_small,clip_l_vision,V-V,1,3,6,null_knn_z,30222.405819532145,43502,10
dinov2_small,clip_l_vision,V-V,2,6,12,mutual_knn,0.7497287392616272,43502,10
dinov2_small,clip_l_vision,V-V,2,6,12,null_knn_z,28169.753910573945,43502,10
dinov2_small,clip_l_vision,V-V,3,9,18,mutual_knn,0.6850351095199585,43502,10
dinov2_small,clip_l_vision,V-V,3,9,18,null_knn_z,26625.043476760377,43502,10
dinov2_small,clip_l_vision,V-V,4,12,24,mutual_knn,0.6037676930427551,43502,10
dinov2_small,clip_l_vision,V-V,4,12,24,null_knn_z,24852.283614941967,43502,10
dinov2_small,siglip_base_vision,V-V,1,3,3,mutual_knn,0.742257833480835,43502,10
dinov2_small,siglip_base_vision,V-V,1,3,3,null_knn_z,26902.3409007188,43502,10
dinov2_small,siglip_base_vision,V-V,2,6,6,mutual_knn,0.7047997713088989,43502,10
dinov2_small,siglip_base_vision,V-V,2,6,6,null_knn_z,28484.302497299064,43502,10
dinov2_small,siglip_base_vision,V-V,3,9,9,mutual_knn,0.6905912756919861,43502,10
dinov2_small,siglip_base_vision,V-V,3,9,9,null_knn_z,26654.22505711072,43502,10
dinov2_small,siglip_base_vision,V-V,4,12,12,mutual_knn,0.6279596090316772,43502,10
dinov2_small,siglip_base_vision,V-V,4,12,12,null_knn_z,24406.381591370635,43502,10
dinov2_base,dinov2_large,V-V,1,3,6,mutual_knn,0.7686381340026855,43502,10
dinov2_base,dinov2_large,V-V,1,3,6,null_knn_z,29046.979400791603,43502,10
dinov2_base,dinov2_large,V-V,2,6,12,mutual_knn,0.8304537534713745,43502,10
dinov2_base,dinov2_large,V-V,2,6,12,null_knn_z,28801.159539082917,43502,10
dinov2_base,dinov2_large,V-V,3,9,18,mutual_knn,0.7515699863433838,43502,10
dinov2_base,dinov2_large,V-V,3,9,18,null_knn_z,26169.334303726875,43502,10
dinov2_base,dinov2_large,V-V,4,12,24,mutual_knn,0.6642889380455017,43502,10
dinov2_base,dinov2_large,V-V,4,12,24,null_knn_z,23789.80057385487,43502,10
dinov2_base,clip_l_vision,V-V,1,3,6,mutual_knn,0.7640866637229919,43502,10
dinov2_base,clip_l_vision,V-V,1,3,6,null_knn_z,31753.266911147824,43502,10
dinov2_base,clip_l_vision,V-V,2,6,12,mutual_knn,0.7650521993637085,43502,10
dinov2_base,clip_l_vision,V-V,2,6,12,null_knn_z,26407.968736395807,43502,10
dinov2_base,clip_l_vision,V-V,3,9,18,mutual_knn,0.6678175330162048,43502,10
dinov2_base,clip_l_vision,V-V,3,9,18,null_knn_z,22806.40643190845,43502,10
dinov2_base,clip_l_vision,V-V,4,12,24,mutual_knn,0.6008872985839844,43502,10
dinov2_base,clip_l_vision,V-V,4,12,24,null_knn_z,24520.605481585048,43502,10
dinov2_base,siglip_base_vision,V-V,1,3,3,mutual_knn,0.7338743209838867,43502,10
dinov2_base,siglip_base_vision,V-V,1,3,3,null_knn_z,25578.320468147514,43502,10
dinov2_base,siglip_base_vision,V-V,2,6,6,mutual_knn,0.7162359952926636,43502,10
dinov2_base,siglip_base_vision,V-V,2,6,6,null_knn_z,27529.74248787361,43502,10
dinov2_base,siglip_base_vision,V-V,3,9,9,mutual_knn,0.6704588532447815,43502,10
dinov2_base,siglip_base_vision,V-V,3,9,9,null_knn_z,23791.896831092916,43502,10
dinov2_base,siglip_base_vision,V-V,4,12,12,mutual_knn,0.6205921769142151,43502,10
dinov2_base,siglip_base_vision,V-V,4,12,12,null_knn_z,21370.02866962465,43502,10
dinov2_large,clip_l_vision,V-V,1,6,6,mutual_knn,0.7669463157653809,43502,10
dinov2_large,clip_l_vision,V-V,1,6,6,null_knn_z,30636.999127200845,43502,10
dinov2_large,clip_l_vision,V-V,2,12,12,mutual_knn,0.7477425336837769,43502,10
dinov2_large,clip_l_vision,V-V,2,12,12,null_knn_z,27579.99299079165,43502,10
dinov2_large,clip_l_vision,V-V,3,18,18,mutual_knn,0.6947726607322693,43502,10
dinov2_large,clip_l_vision,V-V,3,18,18,null_knn_z,25247.69411809066,43502,10
dinov2_large,clip_l_vision,V-V,4,24,24,mutual_knn,0.5821180939674377,43502,10
dinov2_large,clip_l_vision,V-V,4,24,24,null_knn_z,24026.0147444439,43502,10
dinov2_large,siglip_base_vision,V-V,1,6,3,mutual_knn,0.7465174198150635,43502,10
dinov2_large,siglip_base_vision,V-V,1,6,3,null_knn_z,27526.54815978842,43502,10
dinov2_large,siglip_base_vision,V-V,2,12,6,mutual_knn,0.7061812877655029,43502,10
dinov2_large,siglip_base_vision,V-V,2,12,6,null_knn_z,28050.51316495768,43502,10
dinov2_large,siglip_base_vision,V-V,3,18,9,mutual_knn,0.7007401585578918,43502,10
dinov2_large,siglip_base_vision,V-V,3,18,9,null_knn_z,24122.92771356499,43502,10
dinov2_large,siglip_base_vision,V-V,4,24,12,mutual_knn,0.5971885919570923,43502,10
dinov2_large,siglip_base_vision,V-V,4,24,12,null_knn_z,22366.583498788284,43502,10
clip_l_vision,siglip_base_vision,V-V,1,6,3,mutual_knn,0.7837709188461304,43502,10
clip_l_vision,siglip_base_vision,V-V,1,6,3,null_knn_z,26441.369385799037,43502,10
clip_l_vision,siglip_base_vision,V-V,2,12,6,mutual_knn,0.7430992126464844,43502,10
clip_l_vision,siglip_base_vision,V-V,2,12,6,null_knn_z,30733.61561255861,43502,10
clip_l_vision,siglip_base_vision,V-V,3,18,9,mutual_knn,0.6809341907501221,43502,10
clip_l_vision,siglip_base_vision,V-V,3,18,9,null_knn_z,23357.858186824345,43502,10
clip_l_vision,siglip_base_vision,V-V,4,24,12,mutual_knn,0.5898579359054565,43502,10
clip_l_vision,siglip_base_vision,V-V,4,24,12,null_knn_z,19896.99452770725,43502,10
resnet50_in1k,dinov2_base,Control,1,1,3,mutual_knn,0.749503493309021,43502,10
resnet50_in1k,dinov2_base,Control,1,1,3,null_knn_z,26619.230173340275,43502,10
resnet50_in1k,dinov2_base,Control,2,2,6,mutual_knn,0.7696956396102905,43502,10
resnet50_in1k,dinov2_base,Control,2,2,6,null_knn_z,28024.13592493582,43502,10
resnet50_in1k,dinov2_base,Control,3,3,9,mutual_knn,0.710491418838501,43502,10
resnet50_in1k,dinov2_base,Control,3,3,9,null_knn_z,23528.64710391475,43502,10
resnet50_in1k,dinov2_base,Control,4,4,12,mutual_knn,0.6569997072219849,43502,10
resnet50_in1k,dinov2_base,Control,4,4,12,null_knn_z,23665.6269499631,43502,10
